旧值,新值,旧翻译,新翻译
+,パラメータ,+,
9,+,9,
14,+,14,
15,+,15,
2,+,2,
6,+,6,
8,+,8,
10,+,10,
12,+,12,
13,+,13,
+,元気,+,
4,+,4,
7,+,7,
2,消費体力減少,2,
ターン</nobr>,<nobr>,回合</nobr>,
3,消費体力減少,3,
3,+,3,
<nobr>,体力が<nobr>50%以上</nobr>の場合、,<nobr>,
1,消費体力削減,1,
</nobr>,<nobr>,</nobr>,
 </nobr>,<nobr>, </nobr>,
レッスン中1回,重複不可,训练中仅限1次,
<nobr>+,スキルカード使用数追加,<nobr>+,
1,<nobr>+,1,
</nobr>,1,</nobr>,
枚</nobr>引く,スキルカードを<nobr>,张</nobr>,
消費体力減少,枚</nobr>引く,消耗体力减少,
ターン</nobr>,消費体力減少,回合</nobr>,
<nobr>,ターン</nobr>,<nobr>,
レッスン中1回,<nobr>,训练中仅限1次,
11,+,11,
2,元気増加無効,2,
消費体力減少,ターン</nobr>,消耗体力减少,
レッスン中1回,ターン</nobr>,训练中仅限1次,
17,+,17,
1,低下状態無効,1,
回</nobr>,<nobr>,次</nobr>,
スキルカード使用数追加,回</nobr>,技能卡使用数追加,
</nobr>,スキルカード使用数追加,</nobr>,
<nobr>,</nobr>,<nobr>,
次のターン、,1,下个回合，,
手札をすべて,</nobr>,全部手牌在,
<nobr>,レッスン中強化,<nobr>,
重複不可, ,不可重复,
4,消費体力減少,4,
スキルカード使用数追加,ターン</nobr>,技能卡使用数追加,
スキルカードを<nobr>,1,技能卡抽取<nobr>,
2,</nobr>,2,
<nobr>,2,<nobr>,
重複不可,枚</nobr>引く,不可重复,
2,消費体力削減,2,
5,+,5,
5,消費体力減少,5,
100%,<nobr>,100%,
以下の場合、使用可,100%,以下的时候，可以使用,
6,パラメータ,6,
元気,6,元气,
次のターン、,元気,下个回合，,
スキルカードを引く,+,抽取技能卡,
 ,6, ,
<nobr>,次のターン、,<nobr>,
重複不可,スキルカードを引く,不可重复,
 </nobr>, , </nobr>,
10,パラメータ,10,
元気,10,元气,
 ,9, ,
11,パラメータ,11,
元気,11,元气,
次のターン、,ターン</nobr>,下个回合，,
<nobr>, ,<nobr>,
体力が50%以上の場合、使用可,体力が<nobr>50%以上</nobr>の場合、使用可,体力在50%以上的时候，可以使用,
次のターン、,+,下个回合，,
手札をすべて,5,全部手牌在,
 ,次のターン、, ,
2,次のターン、,2,
 ,2, ,
1,+,1,
1,スキルカード使用数追加,1,
</nobr>,<nobr>+,</nobr>,
次のターン、,</nobr>,下个回合，,
枚</nobr>引く,次のターン、,张</nobr>,
 ,スキルカードを<nobr>, ,
（,4,（,
2,（,2,
回）,2,次）,
レッスン中強化,次のターン、,训练中强化,
 ,手札をすべて, ,
（,6,（,
（,7,（,
（,9,（,
手札,ランダムな強化済みスキルカードを、,手牌,
に,手札,中,
生成,に,生成,
に,ランダムな強化済みスキルカードを、,中,
生成,手札,生成,
スキルカード使用数追加,生成,技能卡使用数追加,
スキルカードを引く,</nobr>,抽取技能卡,
<nobr>,スキルカードを引く,<nobr>,
<nobr>,体力回復,<nobr>,
3,<nobr>,3,
</nobr>,3,</nobr>,
5,<nobr>,5,
</nobr>,5,</nobr>,
スキルカードを引く,3,抽取技能卡,
2,スキルカードを引く,2,
ターン</nobr>後、, ,回合</nobr>后，,
